"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","27","2","0","29"
"Cromwell","21","0","0","21"
"Danbury","1,905","137","4","2,046"
"Darien","31","2","0","33"
"Deep River","19","5","0","24"
"Derby","141","19","0","160"
"Durham","7","1","0","8"
"East Granby","12","1","0","13"
"East Haddam","18","2","0","20"
"East Hampton","27","4","0","31"
"East Hartford","517","101","7","625"
"East Haven","192","39","0","231"
"East Lyme","55","5","0","60"
"East Windsor","47","11","1","59"
"Eastford","5","2","0","7"
"Easton","10","0","0","10"
"Ellington","29","3","0","32"
"Enfield","196","30","1","227"
"Essex","11","0","0","11"
"Fairfield","164","20","0","184"
"Farmington","24","0","0","24"
"Franklin","0","1","0","1"
"Glastonbury","35","2","0","37"
"Goshen","0","0","0","0"
"Granby","20","2","0","22"
"Greenwich","184","24","1","209"
"Griswold","36","11","0","47"
"Groton","448","38","0","486"
"Guilford","35","8","0","43"
