"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","2","0","0","0"
"Ansonia","110","9","18","14"
"Ashford","22","0","0","0"
"Avon","7","1","0","0"
"Barkhamsted","5","0","0","0"
"Beacon Falls","22","1","3","1"
"Berlin","39","4","2","1"
"Bethany","9","1","2","1"
"Bethel","35","0","9","5"
"Bethlehem","6","0","1","1"
"Bloomfield","45","6","11","5"
"Bolton","7","0","1","1"
"Bozrah","0","0","1","1"
"Branford","63","6","16","8"
"Bridgeport","745","121","198","89"
"Bridgewater","4","0","0","0"
"Bristol","176","15","35","13"
"Brookfield","40","1","4","1"
"Brooklyn","23","2","1","0"
"Burlington","6","2","0","0"
"Canaan","1","0","0","0"
"Canterbury","3","2","2","2"
"Canton","9","0","0","0"
"Chaplin","14","0","0","0"
"Cheshire","25","2","9","5"
"Chester","3","0","1","1"
"Clinton","46","2","4","2"
"Colchester","23","3","4","2"
"Colebrook","0","0","0","0"
"Columbia","9","0","0","0"
