"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","238","30","0","268"
"Ashford","24","1","1","26"
"Avon","18","3","0","21"
"Barkhamsted","6","1","0","7"
"Beacon Falls","21","10","0","31"
"Berlin","36","12","0","48"
"Bethany","15","1","0","16"
"Bethel","87","8","0","95"
"Bethlehem","7","0","0","7"
"Bloomfield","89","17","0","106"
"Bolton","7","1","0","8"
"Bozrah","0","0","0","0"
"Branford","142","24","0","166"
"Bridgeport","4,298","620","1","4,919"
"Bridgewater","5","1","0","6"
"Bristol","463","40","1","504"
"Brookfield","53","3","0","56"
"Brooklyn","36","6","2","44"
"Burlington","7","1","0","8"
"Canaan","2","0","0","2"
"Canterbury","7","2","1","10"
"Canton","13","1","0","14"
"Chaplin","8","5","2","15"
"Cheshire","42","4","0","46"
"Chester","6","0","0","6"
"Clinton","48","11","0","59"
"Colchester","19","10","0","29"
"Colebrook","1","0","0","1"
"Columbia","6","2","0","8"
