"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","42","1","1","44"
"New Hartford","9","6","0","15"
"New Haven","3,944","760","1","4,705"
"New London","1,125","101","1","1,227"
"New Milford","140","7","0","147"
"Newington","57","22","0","79"
"Newtown","70","9","0","79"
"Norfolk","4","1","0","5"
"North Branford","29","4","0","33"
"North Canaan","20","1","0","21"
"North Haven","52","7","0","59"
"North Stonington","18","4","0","22"
"Norwalk","1,754","132","1","1,887"
"Norwich","432","145","2","579"
"Old Lyme","19","2","0","21"
"Old Saybrook","46","5","0","51"
"Orange","24","3","0","27"
"Oxford","38","5","0","43"
"Plainfield","88","20","5","113"
"Plainville","95","10","0","105"
"Plymouth","70","5","0","75"
"Pomfret","13","10","0","23"
"Portland","22","11","0","33"
"Preston","12","3","0","15"
"Prospect","18","2","0","20"
"Putnam","108","28","1","137"
"Redding","20","3","0","23"
"Ridgefield","53","6","0","59"
"Rocky Hill","34","4","0","38"
"Roxbury","1","0","0","1"
