"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","32","0","2","1"
"New Hartford","11","1","1","1"
"New Haven","1,845","201","223","92"
"New London","118","28","55","33"
"New Milford","88","12","11","5"
"Newington","58","6","12","7"
"Newtown","56","9","4","3"
"Norfolk","6","0","0","0"
"North Branford","9","4","3","1"
"North Canaan","21","2","1","0"
"North Haven","15","1","7","6"
"North Stonington","18","0","1","0"
"Norwalk","171","12","22","10"
"Norwich","121","22","54","24"
"Old Lyme","4","0","0","0"
"Old Saybrook","19","2","4","1"
"Orange","11","0","4","2"
"Oxford","29","3","2","2"
"Plainfield","43","1","4","1"
"Plainville","39","5","4","1"
"Plymouth","19","6","1","0"
"Pomfret","6","0","0","0"
"Portland","17","5","2","1"
"Preston","13","0","1","0"
"Prospect","16","1","0","0"
"Putnam","83","2","6","2"
"Redding","13","4","0","0"
"Ridgefield","26","1","1","0"
"Rocky Hill","11","7","4","1"
"Roxbury","1","0","0","0"
