"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","7","4","2","0"
"Hamden","102","23","31","15"
"Hampton","4","1","1","0"
"Hartford","1,764","178","270","135"
"Hartland","2","1","1","1"
"Harwinton","4","0","0","0"
"Hebron","6","2","1","1"
"Kent","6","0","1","0"
"Killingly","120","6","12","8"
"Killingworth","2","0","0","0"
"Lebanon","16","2","1","1"
"Ledyard","55","3","4","3"
"Lisbon","10","0","0","0"
"Litchfield","7","0","0","0"
"Lyme","4","1","0","0"
"Madison","25","2","1","0"
"Manchester","164","33","48","29"
"Mansfield","35","1","4","2"
"Marlborough","6","0","3","2"
"Meriden","298","38","50","25"
"Middlebury","2","1","0","0"
"Middlefield","11","0","0","0"
"Middletown","116","29","29","12"
"Milford","64","19","15","11"
"Monroe","20","5","1","0"
"Montville","57","3","10","5"
"Morris","3","0","5","5"
"Naugatuck","128","22","24","11"
"New Britain","264","75","109","57"
"New Canaan","16","0","1","1"
