"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","21","0","2","1"
"Cromwell","3","0","6","6"
"Danbury","793","27","54","18"
"Darien","9","0","0","0"
"Deep River","17","1","0","0"
"Derby","130","3","15","8"
"Durham","2","0","0","0"
"East Granby","11","1","2","1"
"East Haddam","18","0","0","0"
"East Hampton","17","0","2","2"
"East Hartford","143","37","56","35"
"East Haven","52","9","18","11"
"East Lyme","42","4","4","2"
"East Windsor","37","2","3","2"
"Eastford","5","0","0","0"
"Easton","9","0","0","0"
"Ellington","28","0","2","2"
"Enfield","195","9","17","5"
"Essex","3","1","0","0"
"Fairfield","74","3","9","5"
"Farmington","24","0","4","4"
"Franklin","0","0","0","0"
"Glastonbury","22","0","0","0"
"Goshen","0","0","0","0"
"Granby","14","0","0","0"
"Greenwich","28","4","6","1"
"Griswold","37","0","7","6"
"Groton","169","16","31","21"
"Guilford","16","2","3","2"
