"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","15","2","0","17"
"Hamden","326","53","0","379"
"Hampton","6","3","0","9"
"Hartford","2,331","584","8","2,923"
"Hartland","3","0","0","3"
"Harwinton","5","0","0","5"
"Hebron","10","2","0","12"
"Kent","5","2","0","7"
"Killingly","135","32","1","168"
"Killingworth","7","0","0","7"
"Lebanon","10","6","0","16"
"Ledyard","90","9","0","99"
"Lisbon","8","3","0","11"
"Litchfield","14","5","0","19"
"Lyme","5","3","0","8"
"Madison","55","7","0","62"
"Manchester","395","99","1","495"
"Mansfield","54","8","0","62"
"Marlborough","5","1","0","6"
"Meriden","514","127","0","641"
"Middlebury","11","0","0","11"
"Middlefield","9","1","0","10"
"Middletown","315","42","0","357"
"Milford","153","24","0","177"
"Monroe","35","4","0","39"
"Montville","95","20","0","115"
"Morris","2","2","0","4"
"Naugatuck","239","35","1","275"
"New Britain","902","223","1","1,126"
"New Canaan","38","2","0","40"
