"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","28","3","0","31"
"Cromwell","21","0","0","21"
"Danbury","1,793","145","4","1,942"
"Darien","23","2","0","25"
"Deep River","19","4","0","23"
"Derby","145","19","0","164"
"Durham","7","1","0","8"
"East Granby","8","1","0","9"
"East Haddam","22","3","0","25"
"East Hampton","24","4","0","28"
"East Hartford","525","109","8","642"
"East Haven","194","40","0","234"
"East Lyme","56","4","0","60"
"East Windsor","52","10","1","63"
"Eastford","5","2","0","7"
"Easton","11","0","0","11"
"Ellington","30","5","0","35"
"Enfield","187","35","1","223"
"Essex","11","0","0","11"
"Fairfield","162","21","0","183"
"Farmington","23","0","0","23"
"Franklin","1","1","0","2"
"Glastonbury","42","3","0","45"
"Goshen","3","0","0","3"
"Granby","19","2","0","21"
"Greenwich","183","24","0","207"
"Griswold","40","11","0","51"
"Groton","464","41","0","505"
"Guilford","36","8","0","44"
