"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","22","1","1","24"
"Hamden","311","35","1","347"
"Hampton","5","0","0","5"
"Hartford","2,488","533","240","3,261"
"Hartland","1","0","0","1"
"Harwinton","5","0","0","5"
"Hebron","2","1","0","3"
"Kent","3","1","0","4"
"Killingly","123","35","5","163"
"Killingworth","13","0","0","13"
"Lebanon","18","6","0","24"
"Ledyard","92","12","0","104"
"Lisbon","4","6","0","10"
"Litchfield","8","0","0","8"
"Lyme","2","0","0","2"
"Madison","49","4","1","54"
"Manchester","337","55","7","399"
"Mansfield","33","12","0","45"
"Marlborough","7","0","0","7"
"Meriden","578","135","1","714"
"Middlebury","4","0","0","4"
"Middlefield","7","1","0","8"
"Middletown","361","44","8","413"
"Milford","119","30","0","149"
"Monroe","36","4","0","40"
"Montville","98","22","0","120"
"Morris","2","5","0","7"
"Naugatuck","146","33","1","180"
"New Britain","932","228","29","1,189"
"New Canaan","28","2","0","30"
