"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,681","157","202","73"
"Waterford","11","3","4","2"
"Watertown","49","7","12","5"
"West Hartford","75","11","10","3"
"West Haven","216","27","47","32"
"Westbrook","29","1","9","6"
"Weston","10","0","0","0"
"Westport","48","2","3","2"
"Wethersfield","51","5","8","6"
"Willington","19","1","2","2"
"Wilton","15","0","0","0"
"Winchester","25","5","4","2"
"Windham","256","17","18","4"
"Windsor","78","7","9","3"
"Windsor Locks","39","3","1","1"
"Wolcott","22","2","8","4"
"Woodbridge","2","0","1","0"
"Woodbury","22","2","0","0"
"Woodstock","14","0","0","0"
"Grand Total","14,109","1,324","2,008","984"
