"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","4","2","4","3"
"Hamden","115","24","30","10"
"Hampton","5","3","1","0"
"Hartford","1,735","167","230","111"
"Hartland","2","0","0","0"
"Harwinton","4","1","0","0"
"Hebron","6","0","3","1"
"Kent","7","0","0","0"
"Killingly","129","4","10","2"
"Killingworth","2","0","0","0"
"Lebanon","14","1","2","2"
"Ledyard","56","8","8","4"
"Lisbon","11","0","1","0"
"Litchfield","9","3","4","1"
"Lyme","4","0","0","0"
"Madison","24","5","4","4"
"Manchester","169","30","43","15"
"Mansfield","36","0","0","0"
"Marlborough","7","0","1","1"
"Meriden","362","61","67","31"
"Middlebury","3","1","0","0"
"Middlefield","8","1","0","0"
"Middletown","102","18","34","19"
"Milford","68","17","15","12"
"Monroe","19","2","1","1"
"Montville","56","5","9","7"
"Morris","3","0","3","0"
"Naugatuck","143","19","29","15"
"New Britain","257","51","95","37"
"New Canaan","16","0","0","0"
