"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","38","1","1","40"
"New Hartford","12","6","0","18"
"New Haven","3,874","738","1","4,613"
"New London","1,104","119","1","1,224"
"New Milford","137","9","0","146"
"Newington","58","13","0","71"
"Newtown","69","5","0","74"
"Norfolk","5","1","0","6"
"North Branford","25","3","0","28"
"North Canaan","22","1","0","23"
"North Haven","58","7","0","65"
"North Stonington","20","4","0","24"
"Norwalk","1,720","127","0","1,847"
"Norwich","432","135","3","570"
"Old Lyme","16","0","0","16"
"Old Saybrook","41","7","0","48"
"Orange","21","4","0","25"
"Oxford","33","6","0","39"
"Plainfield","86","15","3","104"
"Plainville","89","9","0","98"
"Plymouth","67","5","0","72"
"Pomfret","13","8","0","21"
"Portland","25","8","0","33"
"Preston","11","3","0","14"
"Prospect","21","1","0","22"
"Putnam","112","27","0","139"
"Redding","21","1","0","22"
"Ridgefield","40","7","0","47"
"Rocky Hill","43","7","0","50"
"Roxbury","1","0","0","1"
