"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","880","108","160","54"
"Waterford","6","6","7","2"
"Watertown","28","5","3","3"
"West Hartford","47","11","14","10"
"West Haven","166","36","61","22"
"Westbrook","27","3","3","1"
"Weston","8","1","0","0"
"Westport","41","1","9","5"
"Wethersfield","55","3","4","1"
"Willington","18","2","1","0"
"Wilton","14","3","1","1"
"Winchester","34","1","9","7"
"Windham","225","19","52","26"
"Windsor","64","14","23","12"
"Windsor Locks","31","1","1","1"
"Wolcott","11","1","10","7"
"Woodbridge","5","1","2","1"
"Woodbury","21","3","1","0"
"Woodstock","13","0","3","1"
"Grand Total","10,121","1,750","2,484","1,092"
