"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","111","8","11","8"
"Ashford","22","0","8","5"
"Avon","6","0","0","0"
"Barkhamsted","4","0","1","1"
"Beacon Falls","22","1","2","0"
"Berlin","39","3","1","1"
"Bethany","8","1","0","0"
"Bethel","32","2","5","1"
"Bethlehem","5","1","6","4"
"Bloomfield","51","17","13","7"
"Bolton","7","0","2","1"
"Bozrah","0","1","0","0"
"Branford","57","5","10","9"
"Bridgeport","746","171","180","85"
"Bridgewater","4","1","0","0"
"Bristol","174","26","43","24"
"Brookfield","39","4","0","0"
"Brooklyn","24","0","4","1"
"Burlington","5","3","1","1"
"Canaan","1","0","0","0"
"Canterbury","3","0","1","0"
"Canton","9","0","1","1"
"Chaplin","14","0","0","0"
"Cheshire","27","2","1","0"
"Chester","3","0","0","0"
"Clinton","45","2","2","2"
"Colchester","18","1","7","6"
"Colebrook","0","0","0","0"
"Columbia","8","0","0","0"
