"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","1","0","0","1"
"Coventry","26","2","0","28"
"Cromwell","26","0","0","26"
"Danbury","1,950","139","4","2,093"
"Darien","27","2","0","29"
"Deep River","23","4","0","27"
"Derby","142","22","0","164"
"Durham","8","1","0","9"
"East Granby","12","2","0","14"
"East Haddam","21","2","0","23"
"East Hampton","32","5","0","37"
"East Hartford","519","102","7","628"
"East Haven","186","40","0","226"
"East Lyme","52","5","0","57"
"East Windsor","49","9","1","59"
"Eastford","5","2","0","7"
"Easton","10","0","0","10"
"Ellington","34","3","0","37"
"Enfield","195","33","1","229"
"Essex","10","0","0","10"
"Fairfield","170","22","0","192"
"Farmington","27","4","0","31"
"Franklin","1","1","0","2"
"Glastonbury","38","2","0","40"
"Goshen","1","0","0","1"
"Granby","20","2","0","22"
"Greenwich","190","24","1","215"
"Griswold","40","12","0","52"
"Groton","454","39","0","493"
"Guilford","35","9","0","44"
