"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,557","166","227","87"
"Waterford","11","1","11","11"
"Watertown","47","6","18","13"
"West Hartford","73","2","4","2"
"West Haven","208","27","31","23"
"Westbrook","29","1","1","1"
"Weston","10","0","2","1"
"Westport","48","0","0","0"
"Wethersfield","52","7","13","4"
"Willington","19","0","0","0"
"Wilton","17","2","1","0"
"Winchester","25","7","7","5"
"Windham","250","17","38","25"
"Windsor","84","2","7","4"
"Windsor Locks","37","1","2","1"
"Wolcott","21","7","5","3"
"Woodbridge","2","1","1","1"
"Woodbury","20","2","4","2"
"Woodstock","14","0","0","0"
"Grand Total","13,796","1,336","2,113","1,043"
