"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","38","1","1","40"
"New Hartford","11","6","0","17"
"New Haven","3,856","766","1","4,623"
"New London","1,100","118","1","1,219"
"New Milford","132","7","0","139"
"Newington","55","14","0","69"
"Newtown","78","5","0","83"
"Norfolk","5","1","0","6"
"North Branford","25","3","0","28"
"North Canaan","20","2","0","22"
"North Haven","58","7","0","65"
"North Stonington","21","5","0","26"
"Norwalk","1,714","127","0","1,841"
"Norwich","452","135","3","590"
"Old Lyme","16","0","0","16"
"Old Saybrook","39","5","0","44"
"Orange","24","0","0","24"
"Oxford","34","3","0","37"
"Plainfield","94","17","3","114"
"Plainville","92","10","0","102"
"Plymouth","68","6","0","74"
"Pomfret","13","8","0","21"
"Portland","19","9","0","28"
"Preston","11","4","0","15"
"Prospect","20","1","0","21"
"Putnam","112","24","0","136"
"Redding","16","1","0","17"
"Ridgefield","39","7","0","46"
"Rocky Hill","39","7","0","46"
"Roxbury","1","0","0","1"
