"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","35","1","5","2"
"New Hartford","11","0","2","0"
"New Haven","1,902","181","262","113"
"New London","121","42","42","17"
"New Milford","95","11","4","3"
"Newington","59","9","1","1"
"Newtown","58","5","15","7"
"Norfolk","5","0","5","5"
"North Branford","11","5","6","4"
"North Canaan","16","3","4","3"
"North Haven","15","2","2","1"
"North Stonington","18","1","1","1"
"Norwalk","173","17","30","9"
"Norwich","123","39","38","22"
"Old Lyme","6","0","1","1"
"Old Saybrook","16","0","1","1"
"Orange","12","2","0","0"
"Oxford","33","4","1","1"
"Plainfield","45","7","4","3"
"Plainville","37","4","4","2"
"Plymouth","25","2","12","6"
"Pomfret","8","1","0","0"
"Portland","18","3","0","0"
"Preston","13","0","0","0"
"Prospect","17","0","2","1"
"Putnam","78","2","10","6"
"Redding","15","4","0","0"
"Ridgefield","32","2","8","6"
"Rocky Hill","11","1","3","3"
"Roxbury","1","0","0","0"
