"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","4","4","3","2"
"Hamden","106","24","24","14"
"Hampton","4","0","1","1"
"Hartford","1,718","161","271","125"
"Hartland","2","0","0","0"
"Harwinton","4","1","0","0"
"Hebron","6","1","0","0"
"Kent","6","2","0","0"
"Killingly","123","9","16","9"
"Killingworth","2","0","0","0"
"Lebanon","15","0","2","1"
"Ledyard","56","4","9","6"
"Lisbon","11","0","2","1"
"Litchfield","9","5","4","2"
"Lyme","4","0","0","0"
"Madison","25","1","4","4"
"Manchester","165","28","44","21"
"Mansfield","35","3","4","1"
"Marlborough","6","0","3","2"
"Meriden","301","46","64","31"
"Middlebury","1","1","1","0"
"Middlefield","9","0","0","0"
"Middletown","102","23","29","12"
"Milford","65","18","12","8"
"Monroe","19","5","8","6"
"Montville","61","9","7","4"
"Morris","3","0","0","0"
"Naugatuck","136","29","34","16"
"New Britain","259","58","72","33"
"New Canaan","18","0","1","0"
