"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","32","1","0","0"
"New Hartford","11","0","1","0"
"New Haven","1,811","193","273","116"
"New London","121","26","55","24"
"New Milford","90","14","8","5"
"Newington","56","3","5","0"
"Newtown","55","2","2","2"
"Norfolk","6","0","4","3"
"North Branford","8","0","4","2"
"North Canaan","19","2","2","2"
"North Haven","16","8","4","2"
"North Stonington","18","3","0","0"
"Norwalk","172","22","62","24"
"Norwich","120","25","55","36"
"Old Lyme","4","0","3","2"
"Old Saybrook","21","3","4","3"
"Orange","12","2","2","2"
"Oxford","28","2","2","1"
"Plainfield","43","2","13","9"
"Plainville","39","4","8","5"
"Plymouth","19","6","5","4"
"Pomfret","6","0","0","0"
"Portland","19","2","1","1"
"Preston","13","0","3","3"
"Prospect","16","1","0","0"
"Putnam","87","1","6","3"
"Redding","13","0","0","0"
"Ridgefield","27","0","4","3"
"Rocky Hill","11","2","2","1"
"Roxbury","1","0","1","1"
