"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","47","1","1","49"
"New Hartford","9","8","0","17"
"New Haven","3,952","762","1","4,715"
"New London","1,103","111","1","1,215"
"New Milford","134","6","0","140"
"Newington","54","17","0","71"
"Newtown","79","9","0","88"
"Norfolk","4","1","0","5"
"North Branford","26","4","0","30"
"North Canaan","20","1","0","21"
"North Haven","53","5","0","58"
"North Stonington","17","5","0","22"
"Norwalk","1,761","130","1","1,892"
"Norwich","420","139","2","561"
"Old Lyme","19","3","0","22"
"Old Saybrook","46","5","0","51"
"Orange","23","2","0","25"
"Oxford","36","4","0","40"
"Plainfield","87","18","3","108"
"Plainville","92","9","0","101"
"Plymouth","76","9","0","85"
"Pomfret","12","10","0","22"
"Portland","23","8","0","31"
"Preston","12","3","0","15"
"Prospect","19","2","0","21"
"Putnam","110","29","1","140"
"Redding","18","1","0","19"
"Ridgefield","55","6","0","61"
"Rocky Hill","33","6","0","39"
"Roxbury","1","0","0","1"
