"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","34","0","2","1"
"New Hartford","11","0","0","0"
"New Haven","1,934","200","208","93"
"New London","122","27","42","22"
"New Milford","94","9","7","4"
"Newington","61","3","21","12"
"Newtown","58","1","4","3"
"Norfolk","5","1","0","0"
"North Branford","11","1","1","0"
"North Canaan","16","2","1","1"
"North Haven","13","3","7","6"
"North Stonington","18","0","1","0"
"Norwalk","168","21","46","22"
"Norwich","127","26","53","20"
"Old Lyme","6","2","1","1"
"Old Saybrook","17","0","2","2"
"Orange","12","1","2","2"
"Oxford","32","0","3","0"
"Plainfield","44","5","20","11"
"Plainville","38","4","11","9"
"Plymouth","25","2","8","2"
"Pomfret","8","0","0","0"
"Portland","18","3","0","0"
"Preston","13","0","0","0"
"Prospect","17","0","0","0"
"Putnam","80","2","3","2"
"Redding","13","0","5","3"
"Ridgefield","32","1","0","0"
"Rocky Hill","11","3","0","0"
"Roxbury","1","0","0","0"
