"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","20","1","0","0"
"Cromwell","3","5","7","6"
"Danbury","798","41","39","19"
"Darien","9","4","0","0"
"Deep River","19","0","1","1"
"Derby","133","11","17","7"
"Durham","2","0","0","0"
"East Granby","11","0","2","1"
"East Haddam","19","0","3","1"
"East Hampton","17","0","5","3"
"East Hartford","143","18","40","28"
"East Haven","52","20","19","9"
"East Lyme","41","3","7","6"
"East Windsor","37","1","3","2"
"Eastford","5","0","0","0"
"Easton","9","0","1","0"
"Ellington","27","0","2","1"
"Enfield","194","6","21","11"
"Essex","3","0","0","0"
"Fairfield","75","3","12","7"
"Farmington","23","1","5","4"
"Franklin","0","0","1","0"
"Glastonbury","22","1","5","4"
"Goshen","0","0","3","3"
"Granby","14","1","1","1"
"Greenwich","28","3","6","2"
"Griswold","36","1","8","6"
"Groton","165","13","21","10"
"Guilford","15","2","5","2"
