"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","23","0","2","1"
"Cromwell","2","3","2","1"
"Danbury","797","28","36","12"
"Darien","9","0","2","1"
"Deep River","16","0","0","0"
"Derby","127","9","9","9"
"Durham","1","1","1","0"
"East Granby","8","0","2","2"
"East Haddam","22","2","0","0"
"East Hampton","17","1","3","2"
"East Hartford","146","38","45","26"
"East Haven","53","12","16","9"
"East Lyme","44","5","6","5"
"East Windsor","33","1","4","3"
"Eastford","5","0","1","0"
"Easton","9","0","0","0"
"Ellington","26","1","1","1"
"Enfield","189","9","11","7"
"Essex","3","0","1","0"
"Fairfield","73","5","2","2"
"Farmington","22","2","1","1"
"Franklin","0","0","0","0"
"Glastonbury","25","5","2","1"
"Goshen","1","3","0","0"
"Granby","15","0","4","1"
"Greenwich","27","1","1","1"
"Griswold","37","1","0","0"
"Groton","167","16","13","11"
"Guilford","16","1","1","0"
