"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","6","0","0","6"
"Ansonia","190","31","1","222"
"Ashford","17","0","2","19"
"Avon","10","2","2","14"
"Barkhamsted","13","1","1","15"
"Beacon Falls","20","8","0","28"
"Berlin","30","7","2","39"
"Bethany","22","0","0","22"
"Bethel","99","13","0","112"
"Bethlehem","4","0","0","4"
"Bloomfield","88","18","10","116"
"Bolton","12","1","0","13"
"Bozrah","11","0","0","11"
"Branford","172","14","0","186"
"Bridgeport","3,419","546","1","3,966"
"Bridgewater","5","1","0","6"
"Bristol","538","51","5","594"
"Brookfield","30","3","0","33"
"Brooklyn","35","7","1","43"
"Burlington","10","2","0","12"
"Canaan","0","0","0","0"
"Canterbury","8","4","0","12"
"Canton","13","2","0","15"
"Chaplin","4","4","2","10"
"Cheshire","44","0","0","44"
"Chester","11","4","0","15"
"Clinton","41","4","0","45"
"Colchester","32","5","0","37"
"Colebrook","2","0","0","2"
"Columbia","14","0","0","14"
