"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","15","4","0","19"
"Salisbury","7","4","0","11"
"Scotland","6","1","0","7"
"Seymour","64","8","0","72"
"Sharon","3","1","0","4"
"Shelton","132","23","0","155"
"Sherman","4","0","0","4"
"Simsbury","22","5","0","27"
"Somers","21","3","0","24"
"South Windsor","34","9","1","44"
"Southbury","18","1","0","19"
"Southington","113","17","0","130"
"Sprague","8","13","1","22"
"Stafford","72","9","0","81"
"Stamford","2,427","277","3","2,707"
"Sterling","27","1","1","29"
"Stonington","97","18","0","115"
"Stratford","340","73","0","413"
"Suffield","22","4","0","26"
"Thomaston","13","4","0","17"
"Thompson","66","26","4","96"
"Tolland","37","0","0","37"
"Torrington","252","25","1","278"
"Trumbull","73","10","0","83"
"Union","2","0","0","2"
"Vernon","159","35","2","196"
"Voluntown","4","3","0","7"
"Wallingford","89","26","1","116"
"Warren","0","0","0","0"
"Washington","10","0","0","10"
