"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"Andover","5","1","1","1"
"Ansonia","96","21","11","7"
"Ashford","17","0","4","3"
"Avon","5","0","0","0"
"Barkhamsted","9","4","6","0"
"Beacon Falls","18","4","0","0"
"Berlin","35","3","8","3"
"Bethany","10","1","3","3"
"Bethel","36","11","14","3"
"Bethlehem","4","0","0","0"
"Bloomfield","54","14","23","14"
"Bolton","11","2","0","0"
"Bozrah","11","0","6","2"
"Branford","66","13","16","10"
"Bridgeport","546","166","238","94"
"Bridgewater","6","0","1","0"
"Bristol","120","27","54","27"
"Brookfield","26","3","4","3"
"Brooklyn","28","0","5","3"
"Burlington","8","1","3","2"
"Canaan","0","0","0","0"
"Canterbury","7","0","3","1"
"Canton","13","1","1","0"
"Chaplin","5","3","1","0"
"Cheshire","28","1","2","1"
"Chester","9","0","10","4"
"Clinton","29","1","3","2"
"Colchester","34","2","8","2"
"Colebrook","1","1","0","0"
"Columbia","14","2","0","0"
