"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Andover","1","0","0","0"
"Ansonia","118","11","17","11"
"Ashford","21","1","4","2"
"Avon","7","0","2","2"
"Barkhamsted","4","0","0","0"
"Beacon Falls","24","0","2","1"
"Berlin","39","2","9","7"
"Bethany","10","0","0","0"
"Bethel","41","3","4","0"
"Bethlehem","5","0","1","1"
"Bloomfield","46","8","17","3"
"Bolton","6","1","0","0"
"Bozrah","0","1","1","1"
"Branford","63","13","12","8"
"Bridgeport","764","165","203","103"
"Bridgewater","6","0","0","0"
"Bristol","180","32","50","29"
"Brookfield","51","3","0","0"
"Brooklyn","24","0","4","2"
"Burlington","7","2","0","0"
"Canaan","0","0","0","0"
"Canterbury","3","0","4","1"
"Canton","9","2","1","1"
"Chaplin","14","2","1","1"
"Cheshire","27","1","4","4"
"Chester","3","0","1","0"
"Clinton","48","4","2","1"
"Colchester","24","6","1","1"
"Colebrook","1","0","0","0"
"Columbia","8","1","0","0"
