"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,469","322","5","2,796"
"Waterford","43","6","0","49"
"Watertown","40","7","0","47"
"West Hartford","103","17","0","120"
"West Haven","665","66","0","731"
"Westbrook","29","4","0","33"
"Weston","17","0","0","17"
"Westport","60","6","0","66"
"Wethersfield","69","9","0","78"
"Willington","27","3","0","30"
"Wilton","23","0","0","23"
"Winchester","84","5","0","89"
"Windham","670","136","19","825"
"Windsor","116","19","1","136"
"Windsor Locks","48","5","0","53"
"Wolcott","47","7","0","54"
"Woodbridge","9","2","0","11"
"Woodbury","21","1","0","22"
"Woodstock","16","5","2","23"
"Grand Total","32,328","5,070","82","37,480"
