"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","20","0","0","20"
"Salisbury","10","4","0","14"
"Scotland","6","1","0","7"
"Seymour","54","11","0","65"
"Sharon","5","1","0","6"
"Shelton","137","24","0","161"
"Sherman","4","2","0","6"
"Simsbury","24","8","0","32"
"Somers","12","5","0","17"
"South Windsor","32","8","1","41"
"Southbury","24","1","0","25"
"Southington","119","16","0","135"
"Sprague","8","11","1","20"
"Stafford","73","10","0","83"
"Stamford","2,347","269","3","2,619"
"Sterling","26","3","0","29"
"Stonington","111","12","0","123"
"Stratford","365","76","0","441"
"Suffield","20","4","0","24"
"Thomaston","15","4","0","19"
"Thompson","66","26","4","96"
"Tolland","34","0","0","34"
"Torrington","286","29","1","316"
"Trumbull","74","9","0","83"
"Union","2","0","0","2"
"Vernon","163","36","1","200"
"Voluntown","5","4","0","9"
"Wallingford","90","21","1","112"
"Warren","0","0","0","0"
"Washington","13","0","0","13"
