"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","5","1","1","0"
"Hamden","105","22","33","14"
"Hampton","5","0","1","1"
"Hartford","1,783","197","232","111"
"Hartland","2","0","0","0"
"Harwinton","4","0","0","0"
"Hebron","6","1","0","0"
"Kent","5","0","2","2"
"Killingly","125","10","6","2"
"Killingworth","2","0","1","1"
"Lebanon","15","0","3","2"
"Ledyard","57","3","12","6"
"Lisbon","11","0","1","1"
"Litchfield","9","0","3","3"
"Lyme","4","0","0","0"
"Madison","26","0","6","6"
"Manchester","169","13","40","22"
"Mansfield","37","2","0","0"
"Marlborough","7","1","0","0"
"Meriden","306","40","42","22"
"Middlebury","1","1","0","0"
"Middlefield","9","0","0","0"
"Middletown","98","22","36","22"
"Milford","63","9","16","12"
"Monroe","20","1","5","3"
"Montville","60","4","5","4"
"Morris","3","0","2","0"
"Naugatuck","141","21","17","7"
"New Britain","268","51","110","51"
"New Canaan","18","0","0","0"
