"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,532","316","5","2,853"
"Waterford","44","7","0","51"
"Watertown","51","11","0","62"
"West Hartford","101","13","0","114"
"West Haven","674","73","0","747"
"Westbrook","29","4","0","33"
"Weston","19","0","0","19"
"Westport","58","6","0","64"
"Wethersfield","64","7","0","71"
"Willington","25","4","0","29"
"Wilton","23","0","0","23"
"Winchester","83","5","0","88"
"Windham","655","144","19","818"
"Windsor","124","21","1","146"
"Windsor Locks","48","7","0","55"
"Wolcott","43","7","0","50"
"Woodbridge","7","2","0","9"
"Woodbury","25","2","0","27"
"Woodstock","14","5","2","21"
"Grand Total","32,664","5,111","82","37,857"
