"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Cornwall","1","0","0","0"
"Coventry","20","1","8","7"
"Cromwell","3","0","0","0"
"Danbury","804","26","39","15"
"Darien","9","0","0","0"
"Deep River","19","0","1","1"
"Derby","128","3","11","8"
"Durham","2","0","1","0"
"East Granby","11","1","2","2"
"East Haddam","20","1","0","0"
"East Hampton","20","0","2","1"
"East Hartford","145","22","36","22"
"East Haven","53","9","9","8"
"East Lyme","42","3","2","2"
"East Windsor","39","0","2","0"
"Eastford","5","0","0","0"
"Easton","9","0","2","0"
"Ellington","27","2","2","2"
"Enfield","198","16","20","11"
"Essex","3","0","0","0"
"Fairfield","74","5","0","0"
"Farmington","26","3","5","2"
"Franklin","0","0","0","0"
"Glastonbury","24","0","4","0"
"Goshen","0","1","0","0"
"Granby","11","1","0","0"
"Greenwich","30","1","1","0"
"Griswold","39","2","8","4"
"Groton","163","13","18","12"
"Guilford","15","2","5","4"
