"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Andover","1","0","0","1"
"Ansonia","219","28","0","247"
"Ashford","24","4","1","29"
"Avon","19","3","0","22"
"Barkhamsted","10","1","0","11"
"Beacon Falls","17","7","0","24"
"Berlin","34","6","0","40"
"Bethany","12","0","0","12"
"Bethel","79","8","0","87"
"Bethlehem","8","0","0","8"
"Bloomfield","96","25","0","121"
"Bolton","6","1","0","7"
"Bozrah","7","0","0","7"
"Branford","153","24","0","177"
"Bridgeport","4,264","618","1","4,883"
"Bridgewater","3","1","0","4"
"Bristol","449","46","1","496"
"Brookfield","51","1","0","52"
"Brooklyn","33","7","1","41"
"Burlington","5","1","0","6"
"Canaan","2","0","0","2"
"Canterbury","3","3","1","7"
"Canton","14","1","0","15"
"Chaplin","7","6","2","15"
"Cheshire","40","2","0","42"
"Chester","5","0","0","5"
"Clinton","43","10","0","53"
"Colchester","23","4","0","27"
"Colebrook","0","0","0","0"
"Columbia","9","2","0","11"
