"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Haddam","16","1","0","17"
"Hamden","314","54","0","368"
"Hampton","7","3","0","10"
"Hartford","2,329","595","8","2,932"
"Hartland","3","1","0","4"
"Harwinton","5","0","0","5"
"Hebron","10","2","0","12"
"Kent","6","1","0","7"
"Killingly","133","32","1","166"
"Killingworth","7","0","0","7"
"Lebanon","9","6","0","15"
"Ledyard","91","9","0","100"
"Lisbon","7","3","0","10"
"Litchfield","14","3","0","17"
"Lyme","5","3","0","8"
"Madison","55","7","0","62"
"Manchester","392","92","1","485"
"Mansfield","52","8","0","60"
"Marlborough","9","1","0","10"
"Meriden","506","140","0","646"
"Middlebury","12","0","0","12"
"Middlefield","9","3","0","12"
"Middletown","317","44","0","361"
"Milford","146","17","0","163"
"Monroe","32","3","0","35"
"Montville","88","24","0","112"
"Morris","4","4","0","8"
"Naugatuck","229","24","1","254"
"New Britain","885","218","1","1,104"
"New Canaan","37","2","0","39"
