"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","3","0","1","1"
"Hamden","110","18","31","15"
"Hampton","5","0","6","5"
"Hartford","1,835","148","186","95"
"Hartland","2","0","0","0"
"Harwinton","4","0","2","1"
"Hebron","6","0","0","0"
"Kent","7","0","0","0"
"Killingly","126","8","16","7"
"Killingworth","2","0","0","0"
"Lebanon","15","2","0","0"
"Ledyard","58","2","5","2"
"Lisbon","11","0","1","0"
"Litchfield","8","2","1","1"
"Lyme","4","0","0","0"
"Madison","29","5","4","4"
"Manchester","175","15","28","11"
"Mansfield","36","0","7","4"
"Marlborough","6","2","1","1"
"Meriden","334","38","54","9"
"Middlebury","2","0","0","0"
"Middlefield","10","0","3","3"
"Middletown","103","10","23","10"
"Milford","70","6","14","12"
"Monroe","23","3","1","1"
"Montville","54","7","6","4"
"Morris","3","2","2","2"
"Naugatuck","153","13","36","21"
"New Britain","261","49","90","47"
"New Canaan","17","2","1","0"
