"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","34","0","0","0"
"New Hartford","12","2","1","1"
"New Haven","1,917","164","268","95"
"New London","121","26","55","41"
"New Milford","90","4","9","3"
"Newington","57","1","13","10"
"Newtown","59","6","7","3"
"Norfolk","5","0","0","0"
"North Branford","11","4","5","2"
"North Canaan","16","2","2","1"
"North Haven","13","4","1","1"
"North Stonington","18","0","0","0"
"Norwalk","170","23","34","15"
"Norwich","126","20","45","24"
"Old Lyme","6","2","2","2"
"Old Saybrook","19","2","2","2"
"Orange","12","0","1","0"
"Oxford","32","3","0","0"
"Plainfield","42","4","15","5"
"Plainville","37","3","2","0"
"Plymouth","24","8","12","12"
"Pomfret","8","0","1","1"
"Portland","15","3","7","2"
"Preston","13","0","0","0"
"Prospect","16","0","2","2"
"Putnam","87","7","3","2"
"Redding","13","2","0","0"
"Ridgefield","28","0","6","4"
"Rocky Hill","11","5","3","3"
"Roxbury","1","1","0","0"
