"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Salem","21","0","0","21"
"Salisbury","11","4","0","15"
"Scotland","9","1","0","10"
"Seymour","55","10","0","65"
"Sharon","5","1","0","6"
"Shelton","141","25","0","166"
"Sherman","4","2","0","6"
"Simsbury","24","8","0","32"
"Somers","14","5","0","19"
"South Windsor","33","8","1","42"
"Southbury","22","2","0","24"
"Southington","108","13","0","121"
"Sprague","8","11","1","20"
"Stafford","73","10","0","83"
"Stamford","2,347","269","3","2,619"
"Sterling","27","2","0","29"
"Stonington","111","13","0","124"
"Stratford","363","77","0","440"
"Suffield","21","4","0","25"
"Thomaston","14","4","0","18"
"Thompson","67","26","4","97"
"Tolland","34","0","0","34"
"Torrington","293","31","1","325"
"Trumbull","75","10","0","85"
"Union","2","0","0","2"
"Vernon","155","35","1","191"
"Voluntown","3","4","0","7"
"Wallingford","88","22","1","111"
"Warren","0","0","0","0"
"Washington","13","0","0","13"
