"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,487","306","5","2,798"
"Waterford","43","7","0","50"
"Watertown","50","9","0","59"
"West Hartford","104","17","0","121"
"West Haven","656","62","0","718"
"Westbrook","27","4","0","31"
"Weston","18","0","0","18"
"Westport","61","5","0","66"
"Wethersfield","64","8","0","72"
"Willington","27","3","0","30"
"Wilton","25","0","0","25"
"Winchester","89","6","0","95"
"Windham","663","141","18","822"
"Windsor","126","24","1","151"
"Windsor Locks","50","6","0","56"
"Wolcott","46","7","0","53"
"Woodbridge","9","2","0","11"
"Woodbury","27","1","0","28"
"Woodstock","17","5","2","24"
"Grand Total","32,488","5,114","83","37,685"
