"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,529","331","5","2,865"
"Waterford","50","4","0","54"
"Watertown","49","9","0","58"
"West Hartford","102","15","0","117"
"West Haven","666","58","0","724"
"Westbrook","27","4","0","31"
"Weston","18","0","0","18"
"Westport","63","5","0","68"
"Wethersfield","68","11","0","79"
"Willington","26","3","0","29"
"Wilton","24","0","0","24"
"Winchester","83","5","0","88"
"Windham","665","131","19","815"
"Windsor","123","21","1","145"
"Windsor Locks","46","5","0","51"
"Wolcott","45","7","0","52"
"Woodbridge","8","2","0","10"
"Woodbury","21","1","0","22"
"Woodstock","16","5","2","23"
"Grand Total","32,628","5,124","83","37,835"
