"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","3","2","3","1"
"Hamden","99","30","22","11"
"Hampton","4","0","0","0"
"Hartford","1,841","177","185","66"
"Hartland","2","0","0","0"
"Harwinton","4","1","2","2"
"Hebron","8","1","1","0"
"Kent","7","1","0","0"
"Killingly","120","2","8","5"
"Killingworth","2","1","0","0"
"Lebanon","15","0","0","0"
"Ledyard","58","1","2","1"
"Lisbon","9","0","4","4"
"Litchfield","7","1","1","1"
"Lyme","4","0","0","0"
"Madison","25","0","0","0"
"Manchester","172","19","27","7"
"Mansfield","34","0","5","3"
"Marlborough","7","0","0","0"
"Meriden","290","60","67","22"
"Middlebury","1","0","1","1"
"Middlefield","11","1","0","0"
"Middletown","107","17","25","13"
"Milford","65","12","13","4"
"Monroe","18","3","7","5"
"Montville","56","8","14","10"
"Morris","3","0","0","0"
"Naugatuck","126","23","37","16"
"New Britain","265","57","71","36"
"New Canaan","16","0","0","0"
