"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"New Fairfield","33","0","3","1"
"New Hartford","11","0","6","4"
"New Haven","1,815","163","161","77"
"New London","117","43","44","22"
"New Milford","85","6","28","23"
"Newington","58","4","7","2"
"Newtown","60","6","5","1"
"Norfolk","6","0","0","0"
"North Branford","12","1","1","1"
"North Canaan","19","2","0","0"
"North Haven","15","4","2","0"
"North Stonington","18","1","0","0"
"Norwalk","174","16","29","7"
"Norwich","126","35","34","17"
"Old Lyme","4","0","0","0"
"Old Saybrook","17","0","0","0"
"Orange","11","3","0","0"
"Oxford","25","2","1","1"
"Plainfield","41","10","11","10"
"Plainville","39","8","9","4"
"Plymouth","20","1","3","3"
"Pomfret","6","0","0","0"
"Portland","17","2","1","1"
"Preston","12","2","2","0"
"Prospect","16","0","1","0"
"Putnam","82","2","7","7"
"Redding","12","0","0","0"
"Ridgefield","26","0","0","0"
"Rocky Hill","10","2","2","1"
"Roxbury","1","0","0","0"
