"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,507","341","5","2,853"
"Waterford","51","2","0","53"
"Watertown","54","7","0","61"
"West Hartford","112","17","0","129"
"West Haven","692","83","0","775"
"Westbrook","30","7","0","37"
"Weston","18","0","0","18"
"Westport","59","5","0","64"
"Wethersfield","64","6","0","70"
"Willington","22","3","0","25"
"Wilton","27","0","0","27"
"Winchester","79","8","0","87"
"Windham","661","150","19","830"
"Windsor","116","20","1","137"
"Windsor Locks","54","6","0","60"
"Wolcott","57","4","0","61"
"Woodbridge","7","2","0","9"
"Woodbury","24","1","0","25"
"Woodstock","12","5","2","19"
"Grand Total","33,025","5,267","82","38,374"
