"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants  
For Month","Warrants 
Foreign Served 
For Month"
"Haddam","10","0","1","1"
"Hamden","78","28","29","13"
"Hampton","3","0","0","0"
"Hartford","1,057","212","319","124"
"Hartland","0","0","0","0"
"Harwinton","4","0","1","0"
"Hebron","3","0","2","0"
"Kent","3","0","0","0"
"Killingly","122","19","21","4"
"Killingworth","5","3","2","0"
"Lebanon","24","0","4","4"
"Ledyard","65","13","12","8"
"Lisbon","8","1","0","0"
"Litchfield","6","1","7","3"
"Lyme","0","0","0","0"
"Madison","23","4","3","1"
"Manchester","139","14","35","17"
"Mansfield","29","5","5","2"
"Marlborough","6","2","1","0"
"Meriden","315","37","48","23"
"Middlebury","1","0","1","0"
"Middlefield","4","0","3","1"
"Middletown","123","27","47","24"
"Milford","60","15","10","0"
"Monroe","25","2","2","0"
"Montville","92","21","14","6"
"Morris","7","0","0","0"
"Naugatuck","116","9","39","15"
"New Britain","247","83","99","52"
"New Canaan","10","0","3","2"
