"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,475","323","5","2,803"
"Waterford","53","6","0","59"
"Watertown","43","5","0","48"
"West Hartford","101","22","0","123"
"West Haven","670","65","0","735"
"Westbrook","29","4","0","33"
"Weston","17","0","0","17"
"Westport","61","6","0","67"
"Wethersfield","65","10","0","75"
"Willington","25","3","0","28"
"Wilton","23","0","0","23"
"Winchester","81","4","0","85"
"Windham","670","133","20","823"
"Windsor","121","17","1","139"
"Windsor Locks","48","5","0","53"
"Wolcott","47","7","0","54"
"Woodbridge","8","2","0","10"
"Woodbury","22","1","0","23"
"Woodstock","16","5","2","23"
"Grand Total","32,364","5,103","84","37,551"
