"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","37","1","1","39"
"New Hartford","12","6","0","18"
"New Haven","3,875","754","1","4,630"
"New London","1,095","126","1","1,222"
"New Milford","137","9","0","146"
"Newington","49","14","0","63"
"Newtown","64","8","0","72"
"Norfolk","5","1","0","6"
"North Branford","23","4","0","27"
"North Canaan","19","2","0","21"
"North Haven","52","7","0","59"
"North Stonington","18","4","0","22"
"Norwalk","1,752","126","0","1,878"
"Norwich","440","147","2","589"
"Old Lyme","20","2","0","22"
"Old Saybrook","47","7","0","54"
"Orange","24","0","0","24"
"Oxford","39","6","0","45"
"Plainfield","90","15","4","109"
"Plainville","88","7","0","95"
"Plymouth","70","2","0","72"
"Pomfret","12","10","0","22"
"Portland","21","8","0","29"
"Preston","13","3","0","16"
"Prospect","18","3","0","21"
"Putnam","119","30","1","150"
"Redding","17","1","0","18"
"Ridgefield","44","6","0","50"
"Rocky Hill","39","5","0","44"
"Roxbury","1","0","0","1"
