"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Haddam","8","2","2","1"
"Hamden","102","21","39","23"
"Hampton","4","1","0","0"
"Hartford","1,806","208","288","137"
"Hartland","2","1","1","1"
"Harwinton","4","0","1","0"
"Hebron","6","0","0","0"
"Kent","7","1","1","1"
"Killingly","124","2","9","5"
"Killingworth","2","0","1","0"
"Lebanon","15","0","1","1"
"Ledyard","56","1","3","1"
"Lisbon","10","0","1","0"
"Litchfield","9","1","5","4"
"Lyme","4","0","0","0"
"Madison","25","1","1","1"
"Manchester","169","24","49","33"
"Mansfield","35","0","4","2"
"Marlborough","7","4","0","0"
"Meriden","300","41","46","19"
"Middlebury","1","1","0","0"
"Middlefield","11","2","0","0"
"Middletown","110","18","19","13"
"Milford","65","2","16","10"
"Monroe","18","1","3","2"
"Montville","61","5","7","5"
"Morris","3","4","0","0"
"Naugatuck","132","14","44","29"
"New Britain","268","41","87","41"
"New Canaan","17","0","1","0"
