"Municipality *","Warrants with 
Law 
Enforcement 
Actions Noted","Issued Warrants 
For Month","Served Warrants 
 For Month","Warrants 
Foreign Served 
For Month"
"Waterbury","1,321","167","179","67"
"Waterford","12","2","2","1"
"Watertown","38","7","8","5"
"West Hartford","68","3","12","12"
"West Haven","222","37","43","25"
"Westbrook","26","9","1","1"
"Weston","9","0","0","0"
"Westport","44","1","3","2"
"Wethersfield","49","6","12","9"
"Willington","18","0","0","0"
"Wilton","14","0","0","0"
"Winchester","22","1","7","4"
"Windham","258","20","22","11"
"Windsor","79","14","13","8"
"Windsor Locks","34","1","7","3"
"Wolcott","19","8","4","2"
"Woodbridge","3","1","1","1"
"Woodbury","19","9","1","1"
"Woodstock","15","3","1","0"
"Grand Total","13,324","1,646","1,884","935"
