"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"New Fairfield","40","1","1","42"
"New Hartford","11","6","0","17"
"New Haven","3,932","745","1","4,678"
"New London","1,098","105","1","1,204"
"New Milford","136","9","0","145"
"Newington","52","12","0","64"
"Newtown","66","11","0","77"
"Norfolk","5","1","0","6"
"North Branford","26","6","0","32"
"North Canaan","21","2","0","23"
"North Haven","52","7","0","59"
"North Stonington","17","4","0","21"
"Norwalk","1,743","123","0","1,866"
"Norwich","419","148","2","569"
"Old Lyme","21","2","0","23"
"Old Saybrook","44","7","0","51"
"Orange","21","3","0","24"
"Oxford","39","5","0","44"
"Plainfield","86","15","5","106"
"Plainville","92","10","0","102"
"Plymouth","64","6","0","70"
"Pomfret","12","10","0","22"
"Portland","22","11","0","33"
"Preston","12","3","0","15"
"Prospect","16","2","0","18"
"Putnam","117","28","1","146"
"Redding","19","1","0","20"
"Ridgefield","47","6","0","53"
"Rocky Hill","37","8","0","45"
"Roxbury","1","1","0","2"
