"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Cornwall","2","0","0","2"
"Coventry","31","3","0","34"
"Cromwell","21","3","0","24"
"Danbury","1,715","153","4","1,872"
"Darien","23","2","0","25"
"Deep River","17","7","0","24"
"Derby","142","18","0","160"
"Durham","7","1","0","8"
"East Granby","8","1","0","9"
"East Haddam","21","2","0","23"
"East Hampton","25","4","0","29"
"East Hartford","519","109","8","636"
"East Haven","195","41","0","236"
"East Lyme","63","6","0","69"
"East Windsor","55","10","1","66"
"Eastford","5","2","0","7"
"Easton","11","0","0","11"
"Ellington","33","5","0","38"
"Enfield","189","34","1","224"
"Essex","11","0","0","11"
"Fairfield","163","22","0","185"
"Farmington","25","0","0","25"
"Franklin","1","1","0","2"
"Glastonbury","39","3","0","42"
"Goshen","2","0","0","2"
"Granby","20","2","0","22"
"Greenwich","183","24","0","207"
"Griswold","40","11","0","51"
"Groton","475","39","0","514"
"Guilford","36","8","0","44"
