"Municipality *","FTA Warrants","VOP Warrants","OTI Warrants","Total Warrants"
"Waterbury","2,499","319","5","2,823"
"Waterford","44","5","0","49"
"Watertown","53","7","0","60"
"West Hartford","109","15","0","124"
"West Haven","684","79","0","763"
"Westbrook","31","4","0","35"
"Weston","18","0","0","18"
"Westport","58","6","0","64"
"Wethersfield","60","10","0","70"
"Willington","23","3","0","26"
"Wilton","26","0","0","26"
"Winchester","76","7","0","83"
"Windham","674","140","19","833"
"Windsor","116","20","1","137"
"Windsor Locks","52","8","0","60"
"Wolcott","47","7","0","54"
"Woodbridge","7","2","0","9"
"Woodbury","26","1","0","27"
"Woodstock","13","5","2","20"
"Grand Total","32,940","5,153","83","38,176"
